"Guid","AnnualRevenue","Assetphone__c","City","Company","Country","Description","Email","EmailBouncedReason","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","NumberOfEmployees","Phone","PostalCode","Rating","Salutation","State","Status","Street","Test_checkbox__c","Test_currency__c","Test_dateFields__c","Textfield__c","Title","Website"
57730c63-0775-46cf-aae1-6ca4ede036d2,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
5c80a218-5a22-49cd-8976-2ab40e2fff59,"#N/A","#N/A","#N/A",any,"#N/A","#N/A","#N/A","#N/A",abc,"#N/A","#N/A",false,false,"#N/A",efg,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",Contacted,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
71d9e31b-28e0-46b2-bb60-df8636928bfa,"#N/A","#N/A","#N/A",Test Pvt Ltd 2,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
7a53629e-daeb-46f7-ab93-703abef6100e,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
7bdae4f6-8fec-441b-a4bd-fc8f2663660c,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
81df9780-27d3-4424-ab95-6ea4761f260a,33147.0,"#N/A",New York,"MedLife, Inc.",United States,"#N/A",info@salesforce.com,"#N/A",Sarah,"#N/A",Insurance,false,true,"#N/A",Loehr,"#N/A",Employee Referral,"#N/A",48500,(555) 555-1212,10010,"#N/A","#N/A",New York,Contacted,One Jones Avenue,false,"#N/A","#N/A","#N/A",System Administrator,"#N/A"
82d301df-febe-497b-a879-0ccd5c8e6310,"#N/A","#N/A","#N/A",ANy,"#N/A","#N/A","#N/A","#N/A",Nov,"#N/A","#N/A",false,true,"#N/A",Lead1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
85c7051d-017e-4787-a3aa-d8d4c639f4d4,"#N/A","#N/A","#N/A",aqn,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,"#N/A",sns,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
88b84d58-c2c5-4fc7-84c9-4f4aa5f77680,"#N/A","#N/A","#N/A",any,"#N/A","#N/A","#N/A","#N/A",Nov1,"#N/A","#N/A",false,false,"#N/A",1111,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
a892ef3f-92c8-4e43-8f70-76f530b5578b,"#N/A","#N/A","#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
a89ce4fe-d6e8-43cd-92a3-cb6fdd258beb,19879.0,"#N/A",Hartford,BigLife Inc.,United States,"#N/A",info@salesforce.com,"#N/A",Jim,"#N/A",Insurance,false,true,"#N/A",Steele,"#N/A",Employee Referral,"#N/A",28000,(555) 555-1212,6156,"#N/A","#N/A",Connecticut,New,11 Farm Avenue,false,"#N/A","#N/A","#N/A",Senior VP,"#N/A"
b9c28b25-2836-4f45-a8dc-834e6589d82e,28212.0,"#N/A",Hartford,Universal Technologies,United States,"#N/A",info@salesforce.com,"#N/A",Andy,"#N/A",Aerospace & Defense,false,true,"#N/A",Smith,"#N/A",Advertisement,"#N/A",155000,(555) 555-1212,6103,"#N/A",Mr.,Connecticut,New,Universal Building,false,"#N/A","#N/A","#N/A",Vice President,"#N/A"
be119043-5f66-4740-a3ac-8e3e8b595c4b,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
be624c7f-d76c-4dba-82f5-080015ea34d5,"#N/A","#N/A","#N/A",any1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",any,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
cae94332-b446-4969-930f-aa2249131fa5,"#N/A","#N/A","#N/A",Rob Test Account 1,"#N/A","#N/A","#N/A","#N/A",Rob,"#N/A","#N/A",false,true,"#N/A",Test Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
d66ec5dc-9cce-4f2c-a493-360529d1d46f,"#N/A","#N/A","#N/A",ANy,"#N/A","#N/A","#N/A","#N/A",Nov,"#N/A","#N/A",false,true,"#N/A",Lead1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
d9603d5d-1d7d-424e-a2c5-08fdcffcc317,"#N/A","#N/A","#N/A",not1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",hot1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
e2443d85-c5a2-4519-aa25-1d86d978c1c4,"#N/A","#N/A","#N/A",ANy,"#N/A","#N/A","#N/A","#N/A",Nov,"#N/A","#N/A",false,true,"#N/A",Lead1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
e5a3eecd-2c74-4608-9032-165fc20aa594,"#N/A","#N/A","#N/A",any1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",any,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
e873f8c6-b5e5-46fd-a194-0650ff84ecb1,"#N/A","#N/A","#N/A",Test Pvt Ltd 2,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead 1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
effe569e-d719-48fd-b50e-648ae3826887,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
